instance,patients,caregivers,tasks,assigned,invalid_service,window_violations,overlaps,route_violations,sync_total,sync_ok
"instance_101-perugia-r22-p86-s5-sim10.4-seq21.9","86","12","112","97","0","0","0","0","26","23"
"instance_102-milan-r40-p181-s4-sim1.3-seq16.3","181","27","212","198","0","0","0","0","31","30"
"instance_103-cosenza-r24-p265-s5-sim3.9-seq19.4","265","41","326","310","0","0","0","0","61","59"
"instance_104-florence-r38-p348-s2-sim21.9-seq21.6","348","62","499","479","0","0","0","0","151","144"
"instance_105-udine-r31-p60-s2-sim1.1-seq21.1","60","8","72","61","0","0","0","0","12","9"
"instance_106-florence-r21-p219-s3-sim4.0-seq0.9","219","26","228","212","0","0","0","0","9","6"
"instance_107-venice-padua-treviso-r33-p326-s4-sim3.4-seq13.1","326","47","379","356","0","0","0","0","53","50"
"instance_108-milan-r20-p145-s5-sim3.6-seq2.2","145","17","153","131","0","0","0","0","8","4"
"instance_109-reggio-emilia-r11-p48-s5-sim24.7-seq1.0","48","6","59","43","0","0","0","0","11","6"
"instance_110-venice-padua-treviso-r36-p152-s2-sim5.2-seq20.9","152","22","190","176","0","0","0","0","38","35"
"instance_111-venice-r33-p265-s2-sim1.7-seq23.6","265","38","331","292","0","0","0","0","66","55"
"instance_112-cesena-r40-p45-s5-sim24.5-seq15.2","45","11","62","52","0","0","0","0","17","12"
